Country,nx_bipartite_deg_centr
HRV,0.7916666666666666
KOR,0.9166666666666666
EST,0.8333333333333333
BRA,0.9166666666666666
KWT,0.625
TUR,0.9166666666666666
GRD,0.4583333333333333
STP,0.5
SVK,0.75
NOR,0.9166666666666666
ZMB,0.7083333333333333
KGZ,0.75
CZE,0.9583333333333333
MDG,0.5416666666666666
VUT,0.5
SUR,0.5416666666666666
KIR,0.4583333333333333
AGO,0.5833333333333333
NCL,0.5416666666666666
THA,0.875
MLT,0.5416666666666666
BTN,0.625
BGR,0.9166666666666666
ITA,0.9583333333333333
PRT,0.875
GLP,0.5416666666666666
BOL,0.625
TJK,0.7083333333333333
ISL,0.5833333333333333
LBR,0.5
FRA,0.9583333333333333
CYP,0.6666666666666666
SLB,0.5
YEM,0.5416666666666666
ROU,0.9583333333333333
DZA,0.9166666666666666
QAT,0.625
GAB,0.5416666666666666
ZAF,0.9166666666666666
TTO,0.625
ARM,0.5833333333333333
BEL,0.9166666666666666
ABW,0.4583333333333333
PHL,0.875
MUS,0.625
SVN,0.8333333333333333
GEO,0.875
ISR,0.7916666666666666
BLR,0.9166666666666666
BRB,0.625
MYS,0.8333333333333333
MNG,0.75
NER,0.5416666666666666
PAK,0.8333333333333333
PYF,0.5
BRN,0.5
CAN,0.9166666666666666
CHN,1.0
ANT,0.29166666666666663
LSO,0.4583333333333333
BLZ,0.5416666666666666
PRY,0.6666666666666666
SWZ,0.5416666666666666
LUX,0.5416666666666666
IRQ,0.6666666666666666
LVA,0.7916666666666666
CHE,0.9166666666666666
TZA,0.5833333333333333
RWA,0.5416666666666666
LKA,0.7083333333333333
TON,0.5
JPN,0.9166666666666666
SOM,0.4583333333333333
NZL,0.875
UKR,0.9583333333333333
ERI,0.375
SPM,0.4583333333333333
CPV,0.5
SHN,0.3333333333333333
MAR,0.625
GTM,0.6666666666666666
TCD,0.5833333333333333
PAN,0.4583333333333333
URY,0.7916666666666666
SLV,0.5
AUS,1.0
KHM,0.625
BDI,0.5416666666666666
MDA,0.8333333333333333
USA,1.0
TGO,0.41666666666666663
TKM,0.6666666666666666
WSM,0.5
FLK,0.4583333333333333
GUF,0.5416666666666666
GMB,0.5
MDV,0.5833333333333333
COL,0.8333333333333333
LTU,0.9166666666666666
MMR,0.8333333333333333
SEN,0.6666666666666666
COM,0.5
GBR,0.9166666666666666
SWE,0.875
TWN,0.9166666666666666
PLW,0.5416666666666666
DNK,0.9166666666666666
CYM,0.41666666666666663
BIH,0.7916666666666666
ZWE,0.6666666666666666
GNQ,0.5
CRI,0.7083333333333333
BGD,0.7916666666666666
COK,0.5
AIR,0.041666666666666664
DEU,0.9583333333333333
ESH,0.41666666666666663
IRL,0.8333333333333333
PRI,0.375
ETH,0.7083333333333333
SAU,0.6666666666666666
ESP,0.9166666666666666
DMA,0.5
REU,0.4583333333333333
UGA,0.625
BMU,0.4583333333333333
MWI,0.625
FJI,0.5833333333333333
MAC,0.625
TCA,0.41666666666666663
MTQ,0.5416666666666666
IND,0.9583333333333333
SCG,0.875
BHR,0.5833333333333333
OMN,0.625
MLI,0.5833333333333333
NGA,0.7916666666666666
GUY,0.41666666666666663
VEN,0.7916666666666666
MEX,0.8333333333333333
TUN,0.7083333333333333
GIN,0.5
SEA,0.041666666666666664
DOM,0.75
ATG,0.5
RUS,0.9583333333333333
ALB,0.6666666666666666
NLD,0.875
SYC,0.5
CHL,0.875
MOZ,0.7083333333333333
JOR,0.7916666666666666
COD,0.5833333333333333
GNB,0.4583333333333333
HND,0.5833333333333333
LAO,0.5
GRL,0.4583333333333333
JAM,0.5833333333333333
VGB,0.41666666666666663
POL,0.9583333333333333
GIB,0.20833333333333331
SLE,0.5416666666666666
VNM,0.875
FIN,0.9166666666666666
NIC,0.6666666666666666
CIV,0.6666666666666666
LBN,0.625
PRK,0.75
ECU,0.75
DJI,0.5
KNA,0.4583333333333333
IDN,0.875
NPL,0.5
HUN,0.9583333333333333
MRT,0.5416666666666666
LBY,0.6666666666666666
IRN,0.7916666666666666
AZE,0.7916666666666666
UZB,0.875
HKG,0.5416666666666666
PER,0.875
COG,0.5833333333333333
CUB,0.75
GRC,0.9583333333333333
KAZ,0.7916666666666666
SGP,0.6666666666666666
MKD,0.75
PNG,0.6666666666666666
LCA,0.5416666666666666
FRO,0.125
BEN,0.41666666666666663
BHS,0.5833333333333333
VCT,0.5416666666666666
BWA,0.5
GHA,0.6666666666666666
SDN,0.7083333333333333
SYR,0.7083333333333333
CAF,0.5
HTI,0.5
AIA,0.25
ARE,0.6666666666666666
CMR,0.625
ARG,0.875
AFG,0.7083333333333333
AUT,0.9166666666666666
KEN,0.7083333333333333
NAM,0.5833333333333333
TLS,0.5416666666666666
BFA,0.5416666666666666
EGY,0.875
